word,embedding,score,diff
companion,-0.198,0.2,0.398
toast,-0.557,0.5,1.057
lounge,0.049,-0.3,0.349
watch,-1.0,0.6,1.6
haul,0.046,0.7,0.654
combination,0.192,-0.5,0.692
majesty,-0.622,-0.8,0.178
extinguish,-0.196,0.6,0.796
nutrient,-0.158,-0.7,0.542
bark,-0.125,0.5,0.625
rest,-0.257,0.1,0.357
hold,-0.195,0.7,0.895
drainage,-0.917,-0.2,0.717
chill,-0.218,-0.3,0.082
time,-0.885,-0.8,0.085
drink,-0.356,0.7,1.056
eat,-0.163,0.8,0.963
journey,-0.07,0.6,0.67
surf,-0.559,0.7,1.259
shipment,-0.165,0.1,0.265
measure,0.012,0.3,0.288
devour,0.237,0.7,0.463
cutlery,0.099,-0.4,0.499
catch,-0.28,0.6,0.88
drive,-0.386,0.8,1.186
cooling,-0.729,-0.4,0.329
sail,-0.445,0.7,1.145
flutter,-0.03,0.6,0.63
moo,-0.862,0.1,0.962
descend,-0.075,0.6,0.675
commute,-0.653,0.75,1.403
score,-0.328,0.5,0.828
indulgence,0.053,-0.5,0.553
cutting,-0.958,0.7,1.658
containment,-0.321,-0.6,0.279
communication,-0.817,0.3,1.117
transportation,-0.191,0.8,0.991
glide,-0.214,0.7,0.914
slice,-0.188,0.7,0.888
drying,-0.454,0.6,1.054
tote,-0.134,0.6,0.734
nurture,0.286,0.4,0.114
breakfast,0.018,0.2,0.182
cut,-1.0,0.8,1.8
throw,-0.438,0.6,1.038
brush,-0.586,0.6,1.186
competition,0.178,0.5,0.322
signal,-0.351,0.5,0.851
carry,-0.743,0.8,1.543
mobility,-0.285,0.9,1.185
dine,-0.619,0.2,0.819
conformity,0.365,-0.6,0.965
Thanksgiving,-0.411,-0.3,0.111
comfort,-0.783,-0.6,0.183
call,-0.205,0.7,0.905
soar,-0.334,0.8,1.134
pause,-0.801,-0.2,0.601
input,-0.201,0.4,0.601
hygiene,-0.32,-0.4,0.08
click,-0.921,0.8,1.721
health,-0.486,-0.5,0.014
entertainment,0.252,-0.4,0.652
halt,-0.086,0.8,0.886
crunch,-0.791,0.7,1.491
softness,0.033,-0.6,0.633
control,-1.0,0.3,1.3
loyalty,-0.382,-0.7,0.318
formality,0.055,-0.5,0.555
individuality,0.192,-0.6,0.792
gallop,-0.106,0.9,1.006
protection,-0.592,-0.3,0.292
gathering,0.057,0.2,0.143
pattern,-0.613,-0.4,0.213
walk,-0.457,1.0,1.457
productivity,-0.507,0.2,0.707
purr,-0.514,0.6,1.114
sip,-0.164,0.5,0.664
decoration,-0.349,-0.3,0.049
bite,-0.462,0.8,1.262
accessory,0.133,-0.2,0.333
reflection,-0.479,-0.7,0.221
rinse,-0.255,0.7,0.955
uncork,0.1,0.9,0.8
skate,0.022,1.0,0.978
grace,-0.659,-0.1,0.559
support,-0.04,-0.5,0.46
scoop,-0.098,0.8,0.898
tick,-0.021,0.9,0.921
flight,-0.638,1.0,1.638
type,0.378,0.8,0.422
read,-1.0,1.0,2.0
bake,-0.611,1.0,1.611
navigation,-0.614,0.0,0.614
poke,-0.192,1.0,1.192
descent,0.085,0.5,0.415
voyage,-0.018,1.0,1.018
heating,-0.037,0.5,0.537
thrill,0.098,0.5,0.402
consume,-0.575,1.0,1.575
fly,-1.0,1.0,2.0
hug,0.048,1.0,0.952
knowledge,-0.224,-1.0,0.776
shield,0.328,-0.5,0.828
transit,-0.167,1.0,1.167
solitude,-0.435,-1.0,0.565
heat,0.405,0.0,0.405
fasten,-0.133,1.0,1.133
celebration,0.003,0.5,0.497
hit,-0.696,1.0,1.696
flush,0.267,1.0,0.733
adventure,-0.251,1.0,1.251
peel,-0.337,1.0,1.337
song,0.332,0.0,0.332
elegance,-0.075,-1.0,0.925
recreation,-0.149,0.0,0.149
roar,-0.483,1.0,1.483
trumpet,0.136,0.5,0.364
container,-0.145,-1.0,0.855
aroma,0.098,-0.5,0.598
childhood,0.317,-1.0,1.317
measurement,-0.49,0.0,0.49
sanitation,-0.297,0.4,0.697
vibration,-0.225,0.1,0.325
dry,-0.647,-0.2,0.447
growth,-0.231,0.3,0.531
safety,-0.776,-0.7,0.076
swing,-0.486,0.9,1.386
crave,0.245,0.9,0.655
ride,0.152,1.0,0.848
sharpness,0.159,-0.4,0.559
stride,-0.484,0.8,1.284
graze,0.131,0.7,0.569
excitement,-0.086,-0.2,0.114
sit,0.084,0.9,0.816
indulge,0.035,0.6,0.565
acidity,0.707,-0.5,1.207
prong,-0.463,0.0,0.463
chop,-0.722,0.9,1.622
munch,-0.452,0.9,1.352
person,-0.716,-1.0,0.284
bicycle,-0.774,-0.5,0.274
car,0.133,-0.5,0.633
motorcycle,-0.718,-0.5,0.218
airplane,-0.65,-0.4,0.25
bus,-0.163,-0.5,0.337
train,-0.205,-0.5,0.295
truck,-0.325,-0.5,0.175
boat,-0.408,-0.4,0.008
traffic light,0.121,-0.8,0.921
fire hydrant,-0.176,-0.9,0.724
stop sign,-0.344,-0.9,0.556
parking meter,-0.013,-0.7,0.687
bench,0.173,-0.8,0.973
bird,-0.103,-0.5,0.397
cat,0.179,-0.5,0.679
dog,0.174,-0.5,0.674
horse,0.198,-0.5,0.698
sheep,-0.125,-0.5,0.375
cow,-0.356,-0.5,0.144
elephant,-0.182,-0.5,0.318
bear,0.097,-0.7,0.797
zebra,-0.371,-0.5,0.129
giraffe,0.399,-0.5,0.899
backpack,-0.138,-0.2,0.062
umbrella,-0.588,-0.5,0.088
handbag,-0.908,-0.3,0.608
tie,0.006,-0.3,0.306
suitcase,-0.528,-0.2,0.328
frisbee,-0.63,0.5,1.13
skis,0.24,0.8,0.56
snowboard,-0.173,0.8,0.973
sports ball,0.27,0.7,0.43
kite,-0.652,0.9,1.552
baseball bat,0.192,0.8,0.608
baseball glove,-0.101,0.8,0.901
skateboard,0.061,0.9,0.839
surfboard,-0.304,0.9,1.204
tennis racket,0.661,0.8,0.139
bottle,-0.571,-0.1,0.471
wine glass,-0.085,-0.2,0.115
cup,-0.519,0.0,0.519
fork,-0.445,0.0,0.445
knife,-0.455,0.0,0.455
spoon,-0.282,0.0,0.282
bowl,-0.384,0.0,0.384
banana,-0.685,-0.1,0.585
apple,0.236,-0.1,0.336
sandwich,-0.559,-0.2,0.359
orange,-0.406,-0.1,0.306
broccoli,0.291,-0.1,0.391
carrot,-0.012,-0.1,0.088
hot dog,0.1,-0.2,0.3
pizza,-0.17,-0.2,0.03
donut,-0.036,-0.2,0.164
cake,-0.298,-0.2,0.098
chair,-0.414,0.0,0.414
couch,-0.333,0.0,0.333
potted plant,0.085,0.0,0.085
bed,-0.927,0.0,0.927
dining table,0.415,0.0,0.415
toilet,-0.086,0.0,0.086
tv,-0.13,-0.2,0.07
laptop,-0.404,-0.2,0.204
mouse,-0.356,-0.1,0.256
remote,-0.176,-0.1,0.076
keyboard,0.174,-0.2,0.374
cell phone,0.119,-0.2,0.319
microwave,-0.184,-0.3,0.116
oven,-0.231,-0.3,0.069
toaster,-0.66,-0.3,0.36
sink,-0.649,-0.9,0.251
refrigerator,-0.347,-1.0,0.653
book,-0.093,-1.0,0.907
clock,-0.893,-1.0,0.107
vase,0.154,-1.0,1.154
scissors,-0.479,0.5,0.979
teddy bear,-0.054,-0.8,0.746
hair drier,0.006,-0.2,0.206
toothbrush,-0.495,0.0,0.495
#,-0.114,-0.1,0.014
$,-0.754,-0.1,0.654
US$,-0.298,-0.1,0.198
C$,-0.224,-0.1,0.124
'',-0.198,-0.1,0.098
",",-0.612,-0.1,0.512
Wa,-0.568,-0.1,0.468
.,-0.923,-0.1,0.823
?,-0.056,0.2,0.256
!,-0.849,0.2,1.049
--,-0.304,-0.1,0.204
;,-0.103,-0.1,0.003
:,0.192,-0.1,0.292
...,-1.0,-0.1,0.9
-,-0.291,-0.1,0.191
and,-0.048,-0.1,0.052
or,-0.857,-0.1,0.757
But,-0.268,0.0,0.268
but,-0.268,0.0,0.268
million,-0.691,-0.1,0.591
billion,-1.0,-0.1,0.9
one,-0.704,0.0,0.704
two,-0.898,0.0,0.898
10,0.383,0.0,0.383
the,-0.115,0.0,0.115
a,-0.387,0.0,0.387
The,-0.115,0.0,0.115
an,-0.589,0.0,0.589
this,-0.573,0.0,0.573
there,-0.543,0.0,0.543
There,-0.543,0.0,0.543
Perestroika,0.093,-0.3,0.393
besuboru,-0.1,0.0,0.1
de,-0.762,0.0,0.762
etc.,-0.727,0.0,0.727
of,-0.73,0.0,0.73
for,-0.558,0.0,0.558
on,-0.091,0.0,0.091
new,-0.28,-0.2,0.08
other,-0.209,-0.2,0.009
last,-0.031,-0.2,0.169
many,-0.317,0.0,0.317
higher,0.033,-0.2,0.233
lower,-0.141,-0.2,0.059
largest,-0.369,-0.2,0.169
least,-0.58,-0.2,0.38
latest,0.089,-0.2,0.289
best,-0.251,-0.3,0.049
1,-0.564,0.0,0.564
2,-1.0,0.0,1.0
3,-0.095,0.0,0.095
4,0.054,0.0,0.054
5,-0.353,0.0,0.353
will,-0.152,0.7,0.852
would,-0.586,0.7,1.286
could,-0.888,0.7,1.588
can,-0.815,0.7,1.515
may,0.034,0.7,0.666
%,-0.718,0.0,0.718
company,-0.07,-0.5,0.43
year,-0.291,0.0,0.291
market,-0.191,-0.3,0.109
trading,-0.612,0.8,1.412
Mr.,-0.597,0.0,0.597
U.S.,-0.788,0.0,0.788
New,-0.28,0.0,0.28
Corp.,-0.362,-0.5,0.138
York,-0.243,0.0,0.243
Containers,-0.032,-0.5,0.468
Securities,0.148,-0.3,0.448
Industries,-0.179,-0.5,0.321
Materials,0.185,-0.5,0.685
Soviets,-0.011,-0.2,0.189
years,-0.372,0.0,0.372
shares,-0.142,0.8,0.942
prices,-0.356,0.7,1.056
cents,-0.91,0.0,0.91
funds,-0.022,0.8,0.822
all,-0.435,0.0,0.435
such,-0.518,0.0,0.518
half,-0.805,0.0,0.805
Such,-0.518,0.0,0.518
All,-0.435,0.0,0.435
',-0.33,0.0,0.33
it,-0.628,0.0,0.628
he,-0.542,0.0,0.542
they,-0.47,0.0,0.47
I,-0.841,0.0,0.841
It,-0.628,0.0,0.628
its,-0.272,0.0,0.272
their,-0.117,0.0,0.117
his,-0.206,0.0,0.206
her,-0.494,0.0,0.494
our,-0.035,0.0,0.035
n't,-0.469,0.2,0.669
also,-0.628,0.0,0.628
not,-0.104,-0.1,0.004
only,0.053,0.0,0.053
even,-0.695,0.0,0.695
more,-0.802,0.1,0.902
earlier,0.516,0.2,0.316
less,-0.524,-0.1,0.424
better,-0.795,0.1,0.895
longer,-0.653,0.1,0.753
most,-0.358,0.0,0.358
Most,-0.358,0.0,0.358
up,-0.483,0.5,0.983
out,-0.585,0.7,1.285
off,-0.248,0.5,0.748
in,-0.483,0.0,0.483
down,-0.853,-0.5,0.353
&,-0.075,0.0,0.075
to,-0.563,0.0,0.563
To,-0.563,0.0,0.563
TO,-0.563,0.0,0.563
OK,-1.0,0.0,1.0
Oh,-0.702,0.0,0.702
no,-0.58,-0.2,0.38
be,-1.0,-0.5,0.5
make,-0.982,0.8,1.782
buy,-0.711,0.8,1.511
take,-0.795,0.8,1.595
said,-0.587,-0.2,0.387
was,-0.336,-0.7,0.364
were,-0.124,-0.7,0.576
had,-0.553,-0.5,0.053
did,-0.184,0.8,0.984
including,-0.349,-0.2,0.149
according,-0.113,-0.2,0.087
being,-0.407,-0.7,0.293
growing,-0.246,0.7,0.946
trying,-0.303,0.7,1.003
been,-0.858,-0.7,0.158
expected,-0.127,-0.2,0.073
made,-0.559,0.8,1.359
compared,-0.133,-0.2,0.067
based,-0.035,-0.2,0.165
are,-0.256,-0.7,0.444
have,-0.945,-0.5,0.445
say,-0.418,0.0,0.418
do,-0.919,0.8,1.719
're,-0.25,0.0,0.25
is,-0.596,-1.0,0.404
has,-0.609,0.0,0.609
says,-0.556,1.0,1.556
's,-0.078,-1.0,0.922
does,-0.372,1.0,1.372
which,-0.155,0.0,0.155
that,-0.366,0.0,0.366
That,-0.366,0.0,0.366
THAT,-0.366,0.0,0.366
who,-0.921,0.0,0.921
what,-0.312,0.0,0.312
What,-0.312,0.0,0.312
whom,-0.552,0.0,0.552
Who,-0.921,0.0,0.921
whose,-0.41,0.0,0.41
when,-0.207,0.0,0.207
where,-0.557,0.0,0.557
how,-0.134,1.0,1.134
When,-0.207,0.0,0.207
why,-0.873,1.0,1.873
``,-0.487,0.0,0.487
`,-0.607,0.0,0.607
